audio_path	language	perturbation	severity	reference	hypothesis	latency_s
data/processed/fleurs_perturbed/ar_000__speed_spd1.0.wav	ar	speed	1.0	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشكلت في المحيط الأطلسي اليوم 10 عاصفة مسمى لموسم الأعصير الأطلسية العاصفة شبه الاستوائية جيري	1.7606892610001523
data/processed/fleurs_perturbed/ar_000__speed_spd1.1.wav	ar	speed	1.1	تشكلت في المحيط الأطلسي اليوم عاشر عاصفة مُسماة لموسم الأعاصير الأطلسية العاصفة شبه الاستوائية جيري	 تشكّلت في المكان الأطلسي اليوم 10 عصيفة مسمانة لموسيقى العصيفة الأطلسية أو العصيفة الشميل الإسرائيّة الجالي	1.672834099000056
data/processed/fleurs_perturbed/ar_001__white_noise_snr5.wav	ar	white_noise	5.0	تغادر الحافلات المحطة الداخلية بين المناطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المتجهة منها إلى الشرق وجاكار/بومثانج تغادر بين 06:30 و 07:30	 تغادر بحاسلات المحطة الدشيلية بين المناطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المسالح منها إلى الشرق وجكارة بومسان تغادر بين 36 و 37	1.8411811979999584
data/processed/fleurs_perturbed/ar_001__white_noise_snr10.wav	ar	white_noise	10.0	تغادر الحافلات المحطة الداخلية بين المناطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المتجهة منها إلى الشرق وجاكار/بومثانج تغادر بين 06:30 و 07:30	 تغادر حافلات المحطة الداخلية بين المناطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المتجه منها إلى الشرق وجكار بونتانج تغادر بين 36 و 37	1.8152298299999077
data/processed/fleurs_perturbed/ar_001__white_noise_snr15.wav	ar	white_noise	15.0	تغادر الحافلات المحطة الداخلية بين المناطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المتجهة منها إلى الشرق وجاكار/بومثانج تغادر بين 06:30 و 07:30	 تغادر حافلات المحطة الداخلية بين المناطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المتجه منها إلى الشرق وجكارا بومتانج تغادر بين 36 و 37	1.8340971160000663
data/processed/fleurs_perturbed/ar_001__reverb_room0.1.wav	ar	reverb	0.1	تغادر الحافلات المحطة الداخلية بين المناطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المتجهة منها إلى الشرق وجاكار/بومثانج تغادر بين 06:30 و 07:30	 تغادر حافلات المحطة الداخلية بين المناطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المتجه منها إلى الشرق وجكارا بومثانج تغادر بين 36 و 37	1.852867979000166
data/processed/fleurs_perturbed/ar_001__reverb_room0.3.wav	ar	reverb	0.3	تغادر الحافلات المحطة الداخلية بين المناطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المتجهة منها إلى الشرق وجاكار/بومثانج تغادر بين 06:30 و 07:30	 تغيير حافلات المحاطة الداخلية بين محطة العمل والنمر في خلال اليوم على الرغم من أن معظمها وخاصة المتجر منها إلى الشرق ويقارب الإنسان تغيير بين 36 و37	1.9922684919999936
data/processed/fleurs_perturbed/ar_001__reverb_room0.5.wav	ar	reverb	0.5	تغادر الحافلات المحطة الداخلية بين المناطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المتجهة منها إلى الشرق وجاكار/بومثانج تغادر بين 06:30 و 07:30	 تغيير الحادثات المحاطة بيصليها بيانا مواطن حالو النهر في خلال الوقت على الوقت من أن معظمها وخاصة من طلبينها إلى الشرق ويقارب الإنسان تغيير بين 36 و37	2.4651877809999405
data/processed/fleurs_perturbed/ar_001__clipping_clip0.7.wav	ar	clipping	0.7	تغادر الحافلات المحطة الداخلية بين المناطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المتجهة منها إلى الشرق وجاكار/بومثانج تغادر بين 06:30 و 07:30	 تغادر الحافلات المحطة الداخلية بين المناطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المتجه منها إلى الشرق وجكارا بومثانج تغادر بين 36 و 37	1.841400277000048
data/processed/fleurs_perturbed/ar_001__clipping_clip0.5.wav	ar	clipping	0.5	تغادر الحافلات المحطة الداخلية بين المناطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المتجهة منها إلى الشرق وجاكار/بومثانج تغادر بين 06:30 و 07:30	 تغادر الحافلات المحطة الداخلية بين المناطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المتجه منها إلى الشرق وجكارا بومثانج تغادر بين 36 و 37	1.812679504000016
data/processed/fleurs_perturbed/ar_001__clipping_clip0.3.wav	ar	clipping	0.3	تغادر الحافلات المحطة الداخلية بين المناطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المتجهة منها إلى الشرق وجاكار/بومثانج تغادر بين 06:30 و 07:30	 تغادر حافلات المحطة الداخلية بين المناطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المتجه منها إلى الشرق وجكارة بومثانج تغادر بين 36 و 37	1.858886486999836
data/processed/fleurs_perturbed/ar_001__speed_spd0.9.wav	ar	speed	0.9	تغادر الحافلات المحطة الداخلية بين المناطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المتجهة منها إلى الشرق وجاكار/بومثانج تغادر بين 06:30 و 07:30	 تغادر حافلات المحاطة داخلية بين المنطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المتلهم منها إلى الشرق وجكار ابومثانج تغادر بين 36 و 37	1.8081176670000327
data/processed/fleurs_perturbed/ar_001__speed_spd1.0.wav	ar	speed	1.0	تغادر الحافلات المحطة الداخلية بين المناطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المتجهة منها إلى الشرق وجاكار/بومثانج تغادر بين 06:30 و 07:30	 تغادر الحافلات المحطة الداخلية بين المناطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المتجه منها إلى الشرق وجكارا بومثانج تغادر بين 36 و 37	1.839764327000012
data/processed/fleurs_perturbed/ar_001__speed_spd1.1.wav	ar	speed	1.1	تغادر الحافلات المحطة الداخلية بين المناطق عبر النهر في خلال اليوم على الرغم من أن معظمها وخاصة المتجهة منها إلى الشرق وجاكار/بومثانج تغادر بين 06:30 و 07:30	 تغادر حافلات المحاطة الداخلية بين المناطق وعبر النهر في خلال اليوم على الرغم من أنها معظمها وخاصة منها منتجت منها إلى الشرق وجكارة بومفاند تغادر بين 36 و37	2.634403863999978
data/processed/fleurs_perturbed/ar_002__white_noise_snr5.wav	ar	white_noise	5.0	يتمُّ دعم التعلُّم التفاعليّ في البرنامج داخليًا ويهدف إلى طرح الأسئلة والتحفيز وشرح الإجراءاتِ التي قد يكون من الصعب على الطالب التعامل معها بمفرده	 يتم دعم التعامل استفاعدية البرنامج داخلية ويهدف إلى ترشل أطلال والتحقيق وشرح الإجراءات التي قد يكون من الصعب على الطالب التعامل معها بمفردك.	1.880108478000011
data/processed/fleurs_perturbed/ar_002__white_noise_snr10.wav	ar	white_noise	10.0	يتمُّ دعم التعلُّم التفاعليّ في البرنامج داخليًا ويهدف إلى طرح الأسئلة والتحفيز وشرح الإجراءاتِ التي قد يكون من الصعب على الطالب التعامل معها بمفرده	 يتم دعم التعلم التفاعلي في البرنامج دانفلية ويهدف إلى ترحل أسئلة والتحفيز وشرح الإجراءات التي قد يكون من الصعب على الطالب التعامل معها بمفردك.	1.906285605999983
data/processed/fleurs_perturbed/ar_002__white_noise_snr15.wav	ar	white_noise	15.0	يتمُّ دعم التعلُّم التفاعليّ في البرنامج داخليًا ويهدف إلى طرح الأسئلة والتحفيز وشرح الإجراءاتِ التي قد يكون من الصعب على الطالب التعامل معها بمفرده	 يتم دعم التعلم التفاعلي في البرنامج داخليا ويهدف إلى طرح الأسئلة والتحفيظ وشرح الإجراءات التي قد يكون من الصعب على الطالب التعامل معها بمفرده.	1.8887951050000995
data/processed/fleurs_perturbed/ar_002__reverb_room0.1.wav	ar	reverb	0.1	يتمُّ دعم التعلُّم التفاعليّ في البرنامج داخليًا ويهدف إلى طرح الأسئلة والتحفيز وشرح الإجراءاتِ التي قد يكون من الصعب على الطالب التعامل معها بمفرده	 يتم دعم التعلم التفاعلي في البرنامج داخليا ويهدف إلى ترحي الأسئلة والتحفيذ وشرح الإجراءات التي قد يكون من الصعب على الطالب التعامل معها بمفرده.	1.877340828000115
data/processed/fleurs_perturbed/ar_002__reverb_room0.3.wav	ar	reverb	0.3	يتمُّ دعم التعلُّم التفاعليّ في البرنامج داخليًا ويهدف إلى طرح الأسئلة والتحفيز وشرح الإجراءاتِ التي قد يكون من الصعب على الطالب التعامل معها بمفرده	 يتم دعم التعلم التفاعلي في البرنامج الداخلي ويهدف إلى طرح الأسئلة والتحفيذ وشرح الإجراءات التي قد يكون من الصعب على الطالب التعامل معها بنفرده	1.8255019400000947
data/processed/fleurs_perturbed/ar_002__reverb_room0.5.wav	ar	reverb	0.5	يتمُّ دعم التعلُّم التفاعليّ في البرنامج داخليًا ويهدف إلى طرح الأسئلة والتحفيز وشرح الإجراءاتِ التي قد يكون من الصعب على الطالب التعامل معها بمفرده	 يأتن بعمل التعامل التفاعلية في بنات الإخلية ويهدف إمطاح الأسئلة عن التحفيذ وشحل إجراءات التي قد يكون من الصعبة على الطرق التعامل معه من فضل	2.3211985839998306
data/processed/fleurs_perturbed/ar_002__clipping_clip0.7.wav	ar	clipping	0.7	يتمُّ دعم التعلُّم التفاعليّ في البرنامج داخليًا ويهدف إلى طرح الأسئلة والتحفيز وشرح الإجراءاتِ التي قد يكون من الصعب على الطالب التعامل معها بمفرده	 يتم دعم التعلم التفاعلي في البرنامج داخليا ويهدف إلى طرح الأسئلة والتحفيز وشرح الإجراءات التي قد يكون من الصعب على الطالب التعامل معها بمفرده.	2.0752095820000704
data/processed/fleurs_perturbed/ar_002__clipping_clip0.5.wav	ar	clipping	0.5	يتمُّ دعم التعلُّم التفاعليّ في البرنامج داخليًا ويهدف إلى طرح الأسئلة والتحفيز وشرح الإجراءاتِ التي قد يكون من الصعب على الطالب التعامل معها بمفرده	 يتم دعم التعلم التفاعلي في البرنامج داخليا ويهدف إلى طرح الأسئلة والتحفيز وشرح الإجراءات التي قد يكون من الصعب على الطالب التعامل معها بمفرده.	1.8906274900000424
data/processed/fleurs_perturbed/ar_002__clipping_clip0.3.wav	ar	clipping	0.3	يتمُّ دعم التعلُّم التفاعليّ في البرنامج داخليًا ويهدف إلى طرح الأسئلة والتحفيز وشرح الإجراءاتِ التي قد يكون من الصعب على الطالب التعامل معها بمفرده	 يتم دعم التعلم التفاعلي في البرنامج داخليا ويهدف إلى طرح الأسئلة والتحفيز وشرح الإجراءات التي قد يكون من الصعب على الطالب التعامل معها بمفرده.	1.9660946040000908
data/processed/fleurs_perturbed/ar_002__speed_spd0.9.wav	ar	speed	0.9	يتمُّ دعم التعلُّم التفاعليّ في البرنامج داخليًا ويهدف إلى طرح الأسئلة والتحفيز وشرح الإجراءاتِ التي قد يكون من الصعب على الطالب التعامل معها بمفرده	 يتم دعم التعلم التفاوغي في البرنامج داخليا ويهدف إلى ترحل أسئلة والتحفيز وشرح الإجراءات التي قد يكون من الصعبة والطالب التعامل معها بمفرده.	1.9335178789999643
data/processed/fleurs_perturbed/ar_002__speed_spd1.0.wav	ar	speed	1.0	يتمُّ دعم التعلُّم التفاعليّ في البرنامج داخليًا ويهدف إلى طرح الأسئلة والتحفيز وشرح الإجراءاتِ التي قد يكون من الصعب على الطالب التعامل معها بمفرده	 يتم دعم التعلم التفاعلي في البرنامج داخليا ويهدف إلى طرح الأسئلة والتحفيز وشرح الإجراءات التي قد يكون من الصعب على الطالب التعامل معها بمفرده.	1.8712092299999767
data/processed/fleurs_perturbed/ar_002__speed_spd1.1.wav	ar	speed	1.1	يتمُّ دعم التعلُّم التفاعليّ في البرنامج داخليًا ويهدف إلى طرح الأسئلة والتحفيز وشرح الإجراءاتِ التي قد يكون من الصعب على الطالب التعامل معها بمفرده	 يتم دعم التعلم التفاولي في البرنامج داخليا ويهدف إلى ترحي الأسئلة والتحفيظ وشرح الهجوءات التي قد يكون من صعب عطالب التعامل معها بمفرده.	2.362617243999921
data/processed/fleurs_perturbed/ar_003__white_noise_snr5.wav	ar	white_noise	5.0	نصنع بيوتنا وملابسنا من النباتات . معظم الطعام الذي نتناوله من النباتات كذلك. بدون النباتات، لا يمكن للحيوانات البقاء	 نطنع بيوتنا وملابسنا من النباتات معظم الطعام الذي نتناوله من النباتات كذلك بدون النباتات لا يمكن للحيوانات البقاء	1.788429239999914
data/processed/fleurs_perturbed/ar_003__white_noise_snr10.wav	ar	white_noise	10.0	نصنع بيوتنا وملابسنا من النباتات . معظم الطعام الذي نتناوله من النباتات كذلك. بدون النباتات، لا يمكن للحيوانات البقاء	 نصنع بيوتنا وملابسنا من النباتات معظم الطعام الذي نتناوله من النباتات كذلك بدون النباتات لا يمكن للحيوانات البقاء	1.4320959030001177
data/processed/fleurs_perturbed/ar_003__white_noise_snr15.wav	ar	white_noise	15.0	نصنع بيوتنا وملابسنا من النباتات . معظم الطعام الذي نتناوله من النباتات كذلك. بدون النباتات، لا يمكن للحيوانات البقاء	 نصنع بيوتنا وملابسنا من النباتات، معظم الطعام الذي نتناوله من النباتات كذلك بدون النباتات لا يمكن للحيوانات البقاء	1.4624032540000371
data/processed/fleurs_perturbed/ar_003__reverb_room0.1.wav	ar	reverb	0.1	نصنع بيوتنا وملابسنا من النباتات . معظم الطعام الذي نتناوله من النباتات كذلك. بدون النباتات، لا يمكن للحيوانات البقاء	 نصنع بيوتنا وملابسنا من النباتات ورزم الطعام الذي نتناوله من النباتات كذلك بدون النباتات لا يمكن للحيوانات البقاء	1.557234096000002
data/processed/fleurs_perturbed/ar_003__reverb_room0.3.wav	ar	reverb	0.3	نصنع بيوتنا وملابسنا من النباتات . معظم الطعام الذي نتناوله من النباتات كذلك. بدون النباتات، لا يمكن للحيوانات البقاء	 نصنع بيوتنا وملابسنا من النباتات ومرزم الطعام الذي نتنوّله من النباتات كذلك بدون النباتات لا يمكن للحيوانات البقاب	1.5349464749999695
data/processed/fleurs_perturbed/ar_003__reverb_room0.5.wav	ar	reverb	0.5	نصنع بيوتنا وملابسنا من النباتات . معظم الطعام الذي نتناوله من النباتات كذلك. بدون النباتات، لا يمكن للحيوانات البقاء	 نصنع بمتناغنة لبسنا من النباتات موسم الطعام الذي نتناغله من النباتات كبارك بدون النباتات لا يمكن للحيوانات البقاء	1.5586060390000966
data/processed/fleurs_perturbed/ar_003__clipping_clip0.7.wav	ar	clipping	0.7	نصنع بيوتنا وملابسنا من النباتات . معظم الطعام الذي نتناوله من النباتات كذلك. بدون النباتات، لا يمكن للحيوانات البقاء	 نصنع بيوتنا وملابسنا من النباتات، معظم الطعام الذي نتناوله من النباتات كذلك بدون النباتات لا يمكن للحيوانات البقاء	1.5236263379999857
data/processed/fleurs_perturbed/ar_003__clipping_clip0.5.wav	ar	clipping	0.5	نصنع بيوتنا وملابسنا من النباتات . معظم الطعام الذي نتناوله من النباتات كذلك. بدون النباتات، لا يمكن للحيوانات البقاء	 نصنع بيوتنا وملابسنا من النباتات معظم الطعام الذي نتناوله من النباتات كذلك بدون النباتات لا يمكن للحيوانات البقاء	1.9439380130002064
data/processed/fleurs_perturbed/ar_003__clipping_clip0.3.wav	ar	clipping	0.3	نصنع بيوتنا وملابسنا من النباتات . معظم الطعام الذي نتناوله من النباتات كذلك. بدون النباتات، لا يمكن للحيوانات البقاء	 نصنع بيوتنا وملابسنا من النباتات معظم الطعام الذي نتناوله من النباتات كذلك بدون النباتات لا يمكن للحيوانات البقاء	1.5623801770000227
data/processed/fleurs_perturbed/ar_003__speed_spd0.9.wav	ar	speed	0.9	نصنع بيوتنا وملابسنا من النباتات . معظم الطعام الذي نتناوله من النباتات كذلك. بدون النباتات، لا يمكن للحيوانات البقاء	 نصنع بيوتنا وملابسنا من النباتات موظم الطعام الذي نتنوّله من النباتات كذلك بدون النباتات لا يمكن للحيوانات البقاب	1.5154939520000426
data/processed/fleurs_perturbed/ar_003__speed_spd1.0.wav	ar	speed	1.0	نصنع بيوتنا وملابسنا من النباتات . معظم الطعام الذي نتناوله من النباتات كذلك. بدون النباتات، لا يمكن للحيوانات البقاء	 نصنع بيوتنا وملابسنا من النباتات، معظم الطعام الذي نتناوله من النباتات كذلك بدون النباتات لا يمكن للحيوانات البقاء	1.4653630949999297
data/processed/fleurs_perturbed/ar_003__speed_spd1.1.wav	ar	speed	1.1	نصنع بيوتنا وملابسنا من النباتات . معظم الطعام الذي نتناوله من النباتات كذلك. بدون النباتات، لا يمكن للحيوانات البقاء	 نصنع بيوتنا وملابسنا من النباتات معظم الطعام الذي نتلول من النباتات كذلك بدون النباتات لا يمكن الحيوانات البقاء	1.5215316300000268
data/processed/fleurs_perturbed/ar_004__white_noise_snr5.wav	ar	white_noise	5.0	إن عرض الصوت والضوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال	 إن عرض الصوت والبوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال	1.010698763999926
data/processed/fleurs_perturbed/ar_004__white_noise_snr10.wav	ar	white_noise	10.0	إن عرض الصوت والضوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال	 إن عرض الصوت والبوء الهرمي واحد من أنتع الأشياء الموجودة بالمنفقة للأطفال	0.9997602480000296
data/processed/fleurs_perturbed/ar_004__white_noise_snr15.wav	ar	white_noise	15.0	إن عرض الصوت والضوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال	 إن عرض الصوت والبوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال	1.0234270230000675
data/processed/fleurs_perturbed/ar_004__reverb_room0.1.wav	ar	reverb	0.1	إن عرض الصوت والضوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال	 ان عرض الصوت والضوء الهرمي واحد من امتع الاشياء الموجودة بالمنطقة للاطفال	1.0447319350000726
data/processed/fleurs_perturbed/ar_004__reverb_room0.3.wav	ar	reverb	0.3	إن عرض الصوت والضوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال	 إن عرض الصوت والضوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال	1.3103900139999496
data/processed/fleurs_perturbed/ar_004__reverb_room0.5.wav	ar	reverb	0.5	إن عرض الصوت والضوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال	 ان عرض الصلط والطوء الهرمي واحد من امتها الاشياء الموجودة بالمنطقة للأطفال	1.3663261100000454
data/processed/fleurs_perturbed/ar_004__clipping_clip0.7.wav	ar	clipping	0.7	إن عرض الصوت والضوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال	 إن عرض الصوت والضوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال	1.0013908160001392
data/processed/fleurs_perturbed/ar_004__clipping_clip0.5.wav	ar	clipping	0.5	إن عرض الصوت والضوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال	 إن عرض الصوت والضوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال	1.0091721250000774
data/processed/fleurs_perturbed/ar_004__clipping_clip0.3.wav	ar	clipping	0.3	إن عرض الصوت والضوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال	 إن عرض الصوت والضوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال	1.0047178070001337
data/processed/fleurs_perturbed/ar_004__speed_spd0.9.wav	ar	speed	0.9	إن عرض الصوت والضوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال	 إن عرض الصوت والضوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال	1.0427056890000586
data/processed/fleurs_perturbed/ar_004__speed_spd1.0.wav	ar	speed	1.0	إن عرض الصوت والضوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال	 إن عرض الصوت والضوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال	0.9953549079998538
data/processed/fleurs_perturbed/ar_004__speed_spd1.1.wav	ar	speed	1.1	إن عرض الصوت والضوء الهرمي واحد من أمتع الأشياء الموجودة بالمنطقة للأطفال	 إن عرض الصوت في وطوء الهرم واحد من أمدع الأشياء الموجودة بالمنطقة للأطفال	0.9957067539999116
data/processed/fleurs_perturbed/ar_005__white_noise_snr5.wav	ar	white_noise	5.0	تذكر أنه على الرغم من أن الموسيقى في المنصات الرئيسية قد تكون انتهت إلا أن هناك أقسام من المهرجان قد تستمر في تشغيل الموسيقى حتى وقت متأخر من الليل	 تذكر أنه على الرغم من أن الموسيقى في المنصات الرئيسية قد تكون إنتهت إلا أن هناك أقسام المهرجان قد تستمر في تشغيل الموسيقى حتى وقت تأثر من الليل	1.8153557560001443
data/processed/fleurs_perturbed/ar_005__white_noise_snr10.wav	ar	white_noise	10.0	تذكر أنه على الرغم من أن الموسيقى في المنصات الرئيسية قد تكون انتهت إلا أن هناك أقسام من المهرجان قد تستمر في تشغيل الموسيقى حتى وقت متأخر من الليل	 تذكر أنه على الرغم من أن الموسيقى في المنصات الرئيسية قد تكون انتهت إلا أن هناك أقسام من المهرجان قد تستمر في تشغيل الموسيقى حتى وقت مكأخر من الليل	1.9179506939999555
data/processed/fleurs_perturbed/ar_005__white_noise_snr15.wav	ar	white_noise	15.0	تذكر أنه على الرغم من أن الموسيقى في المنصات الرئيسية قد تكون انتهت إلا أن هناك أقسام من المهرجان قد تستمر في تشغيل الموسيقى حتى وقت متأخر من الليل	 تذكر أنه على الرغم من أن الموسيقى في المنصات الرئيسية قد تكون انتهت إلا أن هناك أقسام من المهرجان قد تستمر في تشغيل الموسيقى حتى وقت متأخر من الليل	2.4135396399999536
data/processed/fleurs_perturbed/ar_005__reverb_room0.1.wav	ar	reverb	0.1	تذكر أنه على الرغم من أن الموسيقى في المنصات الرئيسية قد تكون انتهت إلا أن هناك أقسام من المهرجان قد تستمر في تشغيل الموسيقى حتى وقت متأخر من الليل	 تذكر أنه على الرغم من أن الموسيقى في المنصات الرئيسية قد تكون انتهت إلا أن هناك أقسام من المهرجان قد تستمر في تشغيل الموسيقى حتى وقت متأخر من الليل	1.783640663999904
data/processed/fleurs_perturbed/ar_005__reverb_room0.3.wav	ar	reverb	0.3	تذكر أنه على الرغم من أن الموسيقى في المنصات الرئيسية قد تكون انتهت إلا أن هناك أقسام من المهرجان قد تستمر في تشغيل الموسيقى حتى وقت متأخر من الليل	 تذكر أنه على الرغم من أن الموسيقى في المنصات الرئيسية قد تكون انتهت إلا أن هناك أقسام من المهرجان قد تستمر في تشهيل الموسيقى حتى وقت متآخر من الليل	1.8292824879999896
data/processed/fleurs_perturbed/ar_005__reverb_room0.5.wav	ar	reverb	0.5	تذكر أنه على الرغم من أن الموسيقى في المنصات الرئيسية قد تكون انتهت إلا أن هناك أقسام من المهرجان قد تستمر في تشغيل الموسيقى حتى وقت متأخر من الليل	 تذكر أنه على الرغم من أن النوسيقى في النصفات الرئيسية قد تكون انتهى إلا أن هناك أقفاء من المهرجان قد تستمر في تشهيل النوسيقى حتى لغت متأفر من الليل	1.8648367149999103
