audio_path,reference,hypothesis,latency_s,language
data\raw\fleurs_subset\ar_016.wav,افترض الفيلسوف أرسطو أن كل شيء يتكون من مزيج من عنصر أو أكثر من أربعة عناصر هي الأرض والماء والهواء والنار, افترض الفيلاسوف ارسطه ان كل شيء يتكوى من المزيج من عنصر أو أقفر من 4 عناصر هي الأرض والماء والهواء والنار,5.019623699990916,016
data\raw\fleurs_subset\ar_017.wav,أدى مارتيلي أمس القسم في مجلس انتخابي مؤقت جديد مكون من تسعة أعضاء, ادى مارتلي امس القسم في مجلس انتخابم قد جديد مكوان من تسات عضو,4.1990440000081435,017
data\raw\fleurs_subset\ar_018.wav,جرت التقاليد على أن وظيفة القوّات البحريّة هي ضمان قدرة بلدك على نقل شعبك وبضائعه بينما في الوقت نفسه اعتراض قدرة عدوّك على نقل شعبه وبضائعه, جالة التقليد على أن نوازيف تلك البيحبية هي دمان كدريد بالت عانقلي شعبة كبلا احو بينما في الوقت نفسي اعتراد كدري تعدو وقال عانقلي شعب وبدا احو,6.482832100009546,018
data\raw\fleurs_subset\ar_019.wav,لا تشوه الموقع بوضع علامات أو الكتابات الخادشة على الجدران في المباني, لا تشويها الموقع بوضع عالمات أو الكتابات الخادشة على الجدران في المباني,9.573077900000499,019
data\raw\fleurs_subset\ar_020.wav,السبائك هي بشكل أساسي خليط من اثنين أو أكثر من المعادن لا تنسَ أن هناك العديد من العناصر في الجدول الدوري, السباكي بشكل أساس خليط من إثنين أو أقفر من المعادل لأتنسى أن هناك العديد من العناصر في الجد والدوري,10.545776900005876,020
data\raw\fleurs_subset\ar_021.wav,سَيسمح ذلك للاعبين بالتحكم في الأفعال والحركات في ألعاب الفيديو عن طريق التلويح بالجهاز في الهواء, سيسمح ذلك اللي يبيم بالتحكم في العفال والحرقات في العب بالفيديو عم طريق التلوح بالجهاز في الهوات,12.458403600001475,021
data\raw\fleurs_subset\ar_022.wav,نصنع بيوتنا وملابسنا من النباتات . معظم الطعام الذي نتناوله من النباتات كذلك. بدون النباتات، لا يمكن للحيوانات البقاء, نصنع بيوتنا وملاب سنامن النباتات موزم الطعم الذين تناوله من النباتات كذلك بدون النبات لا يمكن للحيوانات البقاء,11.795968399994308,022
data\raw\fleurs_subset\ar_023.wav,إذا أردت أن تقترب من الأحداث فيجب عليك أن تدخل باكراً وذلك للحصول على موقع تخييم قريب من الموسيقى, إذا أعت أن تقترب من الأحداث فا يجب عليك أن تتخل باكيان وزلك الفيسولة وموقعات خيين كويب من المسيقى,10.621903299994301,023
data\raw\fleurs_subset\ar_024.wav,الشوكولاتة الساخنة متوافقة مع المعايير البلجيكية عصائر الفاكهة ممتازة على الرغم من أنها باهظة الثمن, الشكولات السخنا متوفقة مع المعيير البلجيكية، عصائر الفاكيها ممتازة على الرغم من أنها بحظة أثمن,15.346918099996401,024
data\raw\fleurs_subset\ar_025.wav,للأسف دراسة حركة السير صعبة لأنه لا يمكن توقع سلوك السائق بيقين مائة في المئة, للأسف درست حركة الصير صعبة لأنه لا يمكن توقع سلوق السائق بيقين مائة في الماء,10.350332300004084,025
data\raw\fleurs_subset\ar_026.wav,لم يصدر تحذير عن تسونامي ووفقا لوكالة جاكرتا للجيوفيزياء لن يصدر تحذير عن تسونامي لأن الزلزال لم يستوف متطلبات 6.5 درجة, لم يصدر تحذير عن تسنامي ووفقني وكالة جكارتال الجي وفزياء لم يصدر تحذير عن تسنامي لأن الزلزة لم يستوفي متطلبات ستو مصدرقة,12.547162999995635,026
data\raw\fleurs_subset\ar_027.wav,بالنسبة لمنتخب جنوب أفريقيا للرغبي أنهى هذا سلسلة هزائم استمرّت لخمس مباريات, بالنسبة لمنتخب جنوب أفريقا للرغبي أنها هذا سلسلة حزا مستمرات لخمس مباراية,11.961130600000615,027
data\raw\fleurs_subset\ar_028.wav,فكر في مسار التزلج على الجليد باعتباره مسارًا مماثل للمشي لمسافات طويلة, كر في مصارة زله على الجليد بأتباره مصارة وماثل للمشجل مصافات طولة,8.968322299988358,028
data\raw\fleurs_subset\ar_029.wav,التدوين هو أداة تلهم التعاون وتشجع الطلاب على توسيع نطاق التعلم إلى ما بعد اليوم الدراسي التقليدي, التدوين هو أداتهم التعاونه وتشغيع الطلاب على توسيى من طاقت تعلم إلى ما بعد اليوم الدراس التقليدي,10.435672699997667,029
data\raw\fleurs_subset\ar_030.wav,الأسود هي أكثر القطط اجتماعية وتعيش في مجموعات كبيرة تدعى قطعاناً, اللوصود هي أكثر القطة اشتمعية وتعيش في مش موات كبيرة تدا قطعاً,11.37073120000423,030
data\raw\fleurs_subset\ar_031.wav,بينما انحدرت المعرفة لدى اليونانيين وجد الغرب نفسه معزولاً عن جذوره الفلسفية والعلمية اليونانية, بينما حضرت معرفة لدى لنينيين ورد الغرب نفسه معزول عن جزور الفالسفية والألمية لنينيينيين.,12.712623400002485,031
data\raw\fleurs_subset\ar_032.wav,تعد الدار البيضاء من الأماكن الأقل إثارة للتسوق في كل أنحاء المغرب, تعدد الدر البيضاء من العماكن الأقل إثار للتصوك في كل أنحاء المغرب,9.803970499997376,032
data\raw\fleurs_subset\ar_033.wav,يشتهر أهل باريس بالأنانية والوقاحة والغطرسة, يشتحر أهل وباريز بالانانية والوقاح والأطرزة,10.369857500001672,033
data\raw\fleurs_subset\ar_034.wav,التعلم التفاعلي ليس طريقة للتعلم ولكنها بالأحرى وسيلة مساعدة تقدم الدعم للأفراد الذين يمرون بتجربة تعليمية جديدة مثل استخدام برنامج كمبيوتر جديد أو بدء مشروع جديد, اكتعل من تفاعل ليس طريقا للتعلم ولكن نهب الاحرى والسيلا مساعدات قد من دعم للأفراض الذين يمرون بتجربة تعلمية جديدة مثل استغدام برنامك كمبيوتر جديد أو بدء مشروع جديد,16.557235300002503,034
data\raw\fleurs_subset\ar_035.wav,يمكن فقط نقل الطفرات في خلايا الخط الجرثومي إلى الأطفال بينما يمكن أن تسبب الطفرات في أماكن أخرى موت الخلايا أو السرطان, يمكن فقط نقلت طفرات في خلال الخطي الورسومي إلى الأطفال بينما يمكن أن تسبب الطفرات في أماكن أخرى موت الخليئ أستراطم,14.734649599995464,035
data\raw\fleurs_subset\ar_036.wav,اتبعت المستشفى بروتوكول مكافحة العدوى بما في ذلك فصل المريض عن الآخرين لمنع انتقال العدوى المحتملة للآخرين, التباعة المستشفى أبرتك كول مكافة العدوى بمافي ذلك فصل المريض عن الأخرى اللي من أنتقال العدوى المحتمل الأخرين,14.186774600006174,036
data\raw\fleurs_subset\ar_037.wav,ومن ثمّ كان القلم الرصاص صديقاً جيداً لكثير من الناس عندما ظهر, ومن سمه كنى القلم روزاز صدقى قنج إدن لكثير من النس وندمى وحارب,15.904607100004796,037
data\raw\fleurs_subset\ar_038.wav,كان يحكم فرنسا فيشي هؤلاء هم الشعب الفرنسي الذين صنعوا السلام مع الألمان في عام 1940 وعملوا مع الغزاة بدلاً من محاربتهم, كان يحكم فرنسة فيشي هؤلاءهم الشعب الفرنسي الذي نصنع السلام على المان في عام الفتسوميا واربون وعملهم على غزاه بدنا من محرابته,16.19679480000923,038
data\raw\fleurs_subset\ar_039.wav,تصنع النباتات طعامها من الشمس من خلال التمثيل الضوئي كما يوفرون الظل, تصمع النبيات الطعامة من الشمس من خلال التمثيل الضائي كما يوفيرون الظل,10.420992400002433,039
data\raw\fleurs_subset\ar_040.wav,أوضحت أبحاث القرن العشرين وجود مجموعتين من التنوعات الچينية:- مجموعة مستترة وأخرى ظاهرة, أو دهت أبحثق قرن العشرين و جود مجمعاتين من التنوعة الجينية مجموع مستترة واخرى زهرة,11.110384399988106,040
data\raw\fleurs_subset\ar_041.wav,شهرتها بكونها مركز الفخامة بدأت في عام 400 بعد الميلاد واستمرت حتى عام 1100 بعد الميلاد, شهوتها بكونها مقزل فخمة بدأت فعم وبومي بعد الملاد وستموت حتى عام الفومي بعد الملاد,13.205465599996387,041
data\raw\fleurs_subset\ar_042.wav,يوجد رسوم يومية للحفاظ على المنتزه والدخول إليه،أسوة بجميع المتنزهات الوطنية في جنوب إفريقيا, قدر السوم يوميال الحفاظ على المنتزه والدخل إليه، أصوة بجميع المنتزهات الوطنيا في جنوب إفريقيا,15.130662000010489,042
data\raw\fleurs_subset\ar_043.wav,لمدينة برشلونة لغتين رسميتين هما الكتالونية والإسبانية يُفضل حوالي نصف السكان التحدث بالكتالونية ويفهمها الغالبية العظمى ويعرف الجميع تقريبًا الإسبانية, لمدينة برشلونة لغتين رسميتين هماكة لونية والأسبانية يفضل حوالي نصف سكان التحابز بكتلونية ويفهمها الغالبي العزمة ويعرف جميع تقريباً الأسبانية,14.498811500001466,043
data\raw\fleurs_subset\ar_044.wav,لا يفكر العديد فيها باعتبارها ديناصورات لأن لديها ريشًا ويمكنها الطيران, لا يفكر العديد فيها بعتبرها دين الصورة لأن الديه ريشا ويمكنها الطيرون,10.693098999996437,044
data\raw\fleurs_subset\ar_045.wav,إن الرياح الشديدة والبَرَد والتهطال المفرط والحرائق البرية هي أشكال وآثار الطقس الشديد وكذلك العواصف الرعدية والأعاصير والفيضانات والأعاصير الحلزونية, أن يريح الشديدة والبرض والتخاط والمفت والحرق الزوناية هي أشكين وأصار التقسل الشديد وكذلك العواصف ورعدية والأاصيه والفايدنات والأاصيب حزونية,14.568121200005407,045
data\raw\fleurs_subset\ar_046.wav,وأخيراً، يوجد العديد من القطط الصغيرة بما فيهم القطط الأليفة السائبة تأكل الفرائس الصغيرة الأكثر عدداً كالحشرات والقوارض والسحالي والطيور, وأخيراً يوجد العديد من القطة الصغيرة بمفيهم القطة الأليفة السائبة تأكل الفراءس الصغيرة الأكثر عددًا كالحشارات والقوارد والسحالي والطيور,12.180517899992992,046
data\raw\fleurs_subset\ar_047.wav,لقد جعل دفاع الفريق المنضبط ومهاراته في التعامل مع الكرة وعمله الجماعيُّ الممتاز فريق متميز وكان من الواضح أن هذا هو الفريق الذي يجب التغلب عليه, لقد قد جعل هذا الفرخ المنطابط ومهارته في التعامل مع الكرى وعمله الجماء الممتاز فرخ متميز وكان من العضح أن هذا هو الفرخ الذي يجب التغلب عليها,11.450439899999765,047
data\raw\fleurs_subset\ar_048.wav,عند استغلال جميع الموارد المتاحة بشكل فعال عبر الإدارات الوظيفية في المنظمة يمكن أن يتحقق الإبداع والبراعة, اند استغلال جميع الموارد المتحب شكل فعال عبر الادارات الواضيفية في المنظمة يمكن أن يدحق خلق ابداع والبروعة,10.116613599995617,048
data\raw\fleurs_subset\ar_049.wav,المسافة الرأسية الخالية تحت الجسر ١٥ متراً. اكتمل البناء في آب ٢٠١١، ولم يُفْتَحْ أمام حركة المرور حتى آذار ٢٠١٧, المثافة رؤسية الخليات تحت الجسر 15 مدرل اكتمع البناء في اب الفين وأحد عشر ولم يفتح أمام حركة المرور حتى آذور الفين وسبعة عشر,10.66209679999156,049
data\raw\fleurs_subset\ar_050.wav,سطح القمر يتكون من الصخور والغبار تُسمى الطبقة الخارجية للقمر القشرة, ستحر قمر يتكاوى من السخو والغبار تسنم الطبق الخير جيل قمر القشرة,8.738633000000846,050
data\raw\fleurs_subset\ar_051.wav,يجب على كل من يقود سيارته على ارتفاعات عالية أو فوق الممرّات الجبليّة أن يأخذ بعين الاعتبار إمكانيّة تساقط الثّلوج أو الجليد أو درجات الحرارة تحت الصّفر, يجب علي كل من يكون صيارته على ارتفعت علي أو فوق الممرات الجبلية أن يخزبعين الاهتبار أن كان يتصاقوا تسلوجة والجريد أو ضراجات الحرارة تحت السفر,12.499711800002842,051
data\raw\fleurs_subset\ar_052.wav,إذا لم تكن معتاداً على القيادة على الطرق الريفية فكن حذراً يوجد دائماً منحدرات حادة وممرات ضيقة ومنحنيات حادة, إذا متقوم واتدع القوية على طوك في فيها فكن حزن يجد اما المحضوات حدى وموضى يقوم ونحن يات حدى,16.8274051000044,052
data\raw\fleurs_subset\ar_053.wav,خضعت الكنيسة الكاثوليكية التي أصبحت غنية وقوية للتدقيق خلال هذه الفترة من التاريخ الأوروبي, خضعت الجنيس الكاث واليكية التي أصبحت غانية وقوية للتقيخ لالهازي الفطر من التاريخ الأوروبي,13.394442500008154,053
data\raw\fleurs_subset\ar_054.wav,يُعد الخبز بزيت الزيتون من أمثلة العشاء الشعبي البسيط خاصة أثناء فصل الصيف خبز بزيت الزيتون والطماطم وأي توابل متوفرة مثل الجبن وسمك التونة وما إلى ذلك, یعادر خبز بزیت زیتون من امسیت راشه اشعبهید بسیت خاصطن ازنه افستلصصیف خبز بزیت زیتون و تماتم ایت ویبن مطوفلا مستقگیب نوستم اقتون آمه ایل ازیلک,16.668268399997032,054
data\raw\fleurs_subset\ar_055.wav,تم عمل الإعلان بعد أن قام ترامب بمحادثة هاتفية مع الرئيس التركي رجب الطيب أردوغان, تم معامل الآلان بعد أن كومت رمب ممحادسة هاتفية مع الرئيس التركي رجب الطيب أرضغين,11.586959000007482,055
data\raw\fleurs_subset\ar_056.wav,"في 15 آب 1940، غزا الحلفاء جنوب فرنسا، وسُمِّيَ الغَزْوُ بـ""عملية دراغون", تخم الصشر أب 149 غزل حلفاء جنوب فرنسة وسمي الغزو بعملية درغون,12.725992099993164,056
data\raw\fleurs_subset\ar_057.wav,كانت اللجنة بمنزلة رد مارتيلي على الاحتجاجات واسعة النطاق المناهضة للنظام التي بدأت في تشرين الأول, نتلغنا بمنزلة رد مرتيلي على الاحتيجاجات وسعة نتقلمون هدا للنظام التي بدأت في تشرينا الأول,11.090362100003404,057
data\raw\fleurs_subset\ar_058.wav,وقد أخمدت فرق الإنقاذ النار في نهاية المطاف بحلول الساعة 11:35 مساء, قد أحمدت فرق الأنقاف أن نار في نهاية المطاف بحلول الساعة حداشة 35 مساء,9.169600399996853,058
data\raw\fleurs_subset\ar_059.wav,كما يمكن للمدونات المساعدة في تحسين كتابة الطلاب في حين يبدأ الطلاب في الأغلب تجربتهم في المدونات بقواعد نحوية وإملائية غير متقنة فإن وجود جمهور يغير ذلك بشكل عام, كما يمكن لمدونات المساعدة في تحسين كتابة الطلاب في حين يبدأ الطلاب في الأغلب تزريبتهم في لمدونات بقواعد نحوية وإملاية غير متقنا فإن وجود جمهور يغير ذلك بشكل عام,15.289798099998734,059
data\raw\fleurs_subset\ar_060.wav,لم يترك دوفال المتزوج وله ولدان بالغان انطباعًا مؤثرًا في ميلر التي كانت محور القصة, لم يطرق دوووال المتزوج ولا هو لدان باليغان ان طوان مؤثيرا في ميلر التي كانت محور القصة,11.637214100002893,060
data\raw\fleurs_subset\ar_061.wav,في وقت متأخر من يوم الأحد أعلن رئيس الولايات المتحدة دونالد ترامب في بيان ألقاه عن طريق السكرتير الصحفي أن القوات الأميركية ستغادر سوريا, في وقت متأخر من يوم الأحد عن رئيس الولايات المتحدة دون الدتروم بفي بيان القاعة عن طريق السكرتير الصعفي أن القوات العمريكية ستوغايد السولية,14.136078900002758,061
data\raw\fleurs_subset\ar_062.wav,افترض الفيلسوف أرسطو أن كل شيء يتكون من مزيج من عنصر أو أكثر من أربعة عناصر هي الأرض والماء والهواء والنار, في طرد الفيلا سوف أرسطوا أن كل شيء يتكوى المزيج من عنصر أو أكثر من أربعة عن أصر هي الأرض والماء والهواء والنار,14.782255900005111,062
data\raw\fleurs_subset\ar_063.wav,تستطيع أن تركب البودا بودا وهي درّاجة نارية تعمل كتاكسي للتجول في مدينة غوما، والسعر المعتاد محلياً حوالي 500 فرنكٍ كونغوليٍ مقابل رحلة قصيرة, تستطيع ان تركب الوضع بودة وهي دراغة نارية تعمل كتكسي تتجول في مدين تقومة والسار المحتاد محلين حوال خمسمي تفرنك كنغولي من قابل رحلا قصيرة,18.736001799989026,063
data\raw\fleurs_subset\ar_064.wav,وبالرغم من ذلك فإن منطقة شنغن تعمل إلى حد ما كدولة واحدة في هذا الشأن, وبالورم من زلك في إنه منطقة شنجن تعمل حد ميكدول واحدة في هذا الشلط,19.890028899986646,064
data\raw\fleurs_subset\ar_065.wav,كان المرفأ موقعاً لمواجهاتٍ بحريةٍ سيئة السمعة في عام ١٨٨٩ عندما رفضت سبع سفن من ألمانيا والولايات المتحدة وبريطانيا مغادرة الميناء, كان المرفق مقعاً لمواجهات بحرية سيئة التسماع في عام 1880 عندما رفضت 7 سوف من المنيا والولايات المتحدة برطانيا مواضرة المينة,18.598774300000514,065
data\raw\fleurs_subset\ar_066.wav,عند أخذ كل الأشياء بعين الاعتبار لا ينبغي لنا أن نندهش إذا قام أسلافنا بحل مشكلة البروتين لديهم بطريقة ما على نفس النحو التي يقوم بها الشمبانزي في السافانا, اند ارز قدر اشه بین ریتبال دیم بگید نن این ندهش از قام اصلا فنب حالم مش قلتب بلتین دیم بیدارک دنمه این افسن نخ وقت دتیقون بیشا بانزی فیس سوان,17.801648299995577,066
data\raw\fleurs_subset\ar_067.wav,قد يختار هؤلاء الأزواج وضع خطة تبني لأطفالهم, قد يختار حولاء الأزواج وضع خطة بالنيل أطفالهم,10.51889829999709,067
data\raw\fleurs_subset\ar_068.wav,سرعان ما بادرت بريطانيا بمحاصرة ألمانيا بحرًيا بعد اندلاع المناوشات, سرعان ما بادرة برطانية بمحصرت المنية بحريا بعد اندلها المنوشات,12.2202324999962,068
data\raw\fleurs_subset\ar_069.wav,يؤدي الامتلاك الجماعي للسيارات أيضاً إلى ارتفاع معدل الحوادث على الطرق مما يؤدي إلى ابتكار تقنيات جديدة في الرعاية الصحية لعلاج الأجسام المتضررة, يؤجر المتلك الجمعية للصياط أيضاً إيرتفام عضل حواجة صالطوك منما يؤجر ابتكارت كنوات جديدة في باعي الصحية لعليك الأكسام المتضغوة,21.428786300006323,069
data\raw\fleurs_subset\ar_070.wav,كما يمكن للمدونات المساعدة في تحسين كتابة الطلاب في حين يبدأ الطلاب في الأغلب تجربتهم في المدونات بقواعد نحوية وإملائية غير متقنة فإن وجود جمهور يغير ذلك بشكل عام, كما يمكن المدوانات المسعدة في تحسينك كثيرة اللوف يحين يبدأ التلوف الأغلب تجربون في المدوان في قوعة نحوية وملاقيية غير متقنا فإنه وجودكمه ريغير جاليك بشكل عام,18.925235999995493,070
data\raw\fleurs_subset\ar_071.wav,لكن هذا غير صحيح فعلى الرغم من وجود شيء مكتوب على ظهر المستند فإنه ليس خريطةً لكنز, لكن هذا غير صحيح فعلا برم منوغوش إمكتوب على زف مستند فإنهو ليس خويتتنا كنس,14.04934929999581,071
data\raw\fleurs_subset\ar_072.wav,تشملُ رحلات سانت بطرسبرغ البحرية قضاء بعض الوقت في المدينة. يُعفى ركاب الرحلات البحرية من متطلبات الحصول على تأشيرة الدخول راجع الشروط, تشمر الحالات سنتة بترزبرغ البحرية قضاء بعد الوقت في المدينة يعفر كابر الحالات البحرية من مطاطل وضل حصول على تأشيرة الدخول راجع الشرط,14.817233900001156,072
data\raw\fleurs_subset\ar_073.wav,بصفة عامة، يمكن أن يظهر سلوكان عندما يبدأ المديرون في قيادة أقرانهم السابقين أحدهما هو محاولة البقاء مثل الآخرين أو الأخريات, بسف عم يمكن أن يظار سلوكين عندما يبدأ المجيرون في قيادة أقرنهم السبقين أحدهم هو محاولة البقاء مثل الغريين أو الأخرى,17.085116099988227,073
data\raw\fleurs_subset\ar_074.wav,يُوفّر ذلك فرصةً جيدةً لمشاهدةِ الشفقِ القطبيِّ ، حيث ستكون السماء مظلمةً بصورةٍ أكثر أو أقل على مدار الساعة, يوث فرذلك فرصة جيدة لمشاهدة الشفق القبي، حيث ستكون ستكون سماء مضلمة وصورة أكثر أو أقل على مدارس ساعة,14.244476299994858,074
data\raw\fleurs_subset\ar_075.wav,يبلغ سمك القشرة حوالي 70 كيلومتراً على الجانب القريب و100 كيلومتر على الجانب البعيد, يبلغ سمك القشروحة ويلسة بين كيلومترون على الجانب القريب وميت كيلومتر على الجانب البعيد,9.397021800003131,075
data\raw\fleurs_subset\ar_076.wav,يمنح الاكتشاف أيضاً فهماً عميقاً لتطور الريش في الطيور, ينحى الكتشاف أيضا فهما عميقا لتطور الريش في الطيور,10.119471600002726,076
data\raw\fleurs_subset\ar_077.wav,أيونات الهيدروجين هي بروتونات منزوعة الإلكترونات حيث أن ذرات الهيدروجين تتكون من بروتون واحد وإلكترون واحد, أيونات الهدوجين هي بوتونات منزوعة الوقتونات حيث أنظارات الهدوجين تتكاوى بوتون واحد ولكتون واحد,15.65389870000945,077
data\raw\fleurs_subset\ar_078.wav,تحتوي هضبة الجيزة، أو مدينة الجيزة الجنائزية بوادي الموتى المصري، على عدة أهرامات أكبرها الهرم الأكبر ومقابر صغيرة ومعابد وأبو الهول, تحتوي هضبة الجيزة أو مدينة الجيزة الجناء إزية بواد الموت المصري على عدة أهرامات أكبرها الهرام الأكبر ومقابر صغيرة ومعابد وأبول هول,20.520931500010192,078
data\raw\fleurs_subset\ar_079.wav,تتناقض المدينة بشكل صارخ مع بقية مدن الدولة لأنها تتميز بطابع عربي أكثر منه إفريقي, تتنوقض المدينة بشكل صارخ مع بقيت مدن الدولة لأنها تتميز بطابع عربي أكثر منه إسريقين,18.634238399987225,079
data\raw\fleurs_subset\ar_080.wav,يتم نقل المرض من خلال الخنازير والذي ينتقل بعد ذلك إلى البشر من خلال البعوض, يتم نقل المرض من خلال السنازير والذي ينتقل بعد ذلك الى البشر من خلال الباعود,12.58973409999453,080
data\raw\fleurs_subset\ar_081.wav,سرعان ما بادرت بريطانيا بمحاصرة ألمانيا بحرًيا بعد اندلاع المناوشات, سرعان مبضرد بريطانية بمحفرة المنية بحريا بعد اندلاء المناء وشيط,15.110690100002103,081
