audio_path	language	perturbation	severity	reference	hypothesis	latency_s	wer_sample	cer_sample	category	root	ref_len	hyp_len	len_ratio
data/processed/fleurs_perturbed/fr_045__white_noise_snr5.wav	fr	white_noise	5.0	rolando mendoza tira avec son fusil m16 sur les touristes	 C'est un peu comme si tu avais un fils sur les doigts.	0.5385851040000489	1.1	0.6140350877192983	⚫ Catastrophique	fr_045	10	13	1.3
data/processed/fleurs_perturbed/fr_022__reverb_room0.5.wav	fr	reverb	0.5	danielle lantagne experte de l'onu sur la maladie a déclaré que l'épidémie avait probablement été causée par les casques bleus	 Le bataillon de la Tagne est expert de l'homogène sur le terrain avec l'air que le pied de route a un commandement déguisé par le casque bleu.	1.090567094999642	1.0909090909090908	0.5396825396825397	⚫ Catastrophique	fr_022	22	29	1.3181818181818181
data/processed/fleurs_perturbed/ar_056__reverb_room0.5.wav	ar	reverb	0.5	"في 15 آب 1940، غزا الحلفاء جنوب فرنسا، وسُمِّيَ الغَزْوُ بـ""عملية دراغون"	 كما مستوصلت قبل، قلت لسامية ردعيين غازة كالفرسيك في فرنسا وصامية غازة عملية في جرمون	1.34920163400011	1.0769230769230769	0.875	⚫ Catastrophique	ar_056	13	15	1.1538461538461537
data/processed/fleurs_perturbed/fr_088__reverb_room0.5.wav	fr	reverb	0.5	une recherche sur internet de « cours en environnement hostile » fournira probablement l'adresse d'une entreprise locale	 Je suis plus sur le terrain et de coups, il y a des remboursiers, il faudra trouver le nom et l'adresse d'une entreprise locale.	0.9956413549998616	1.0588235294117647	0.47413793103448276	⚫ Catastrophique	fr_088	17	26	1.5294117647058822
data/processed/fleurs_perturbed/fr_002__speed_spd1.1.wav	fr	speed	1.1	il a ajouté qu’« on ne devrait cependant pas leur demander d’assumer des obligations qui dépassent leur stade de développement leur responsabilité et leurs capacités. »	 Et ajouter qu'on nous donne un souci d'un certain nombre d'emplois et d'un certain nombre de personnes qui n'est pas sur scène de développement, de responsabilité et de capacité.	1.1797559990000082	1.0384615384615385	0.5460122699386503	⚫ Catastrophique	fr_002	26	34	1.3076923076923077
data/processed/fleurs_perturbed/ar_009__reverb_room0.5.wav	ar	reverb	0.5	بصفته رياضيّاً شاملاً، يمكن للنّمر التّسلق وإن لم يكن ذلك بشكلٍ جيد والسّباحة والقفز لمسافاتٍ طويلةٍ والسّحب بقوّة خمسة أضعاف قوّة الإنسان	 بسبب الوضع الشعنينة ونكو للنمو التصنع وإن تأتي المشاكل القادمة والسباق أو الطنس لماسيطات طويلة والسعن بقوة خمسة أو عوض قوة من سنين	2.067398613000023	1.0	0.5144927536231884	⚫ Catastrophique	ar_009	22	23	1.0454545454545454
data/processed/fleurs_perturbed/ar_031__reverb_room0.5.wav	ar	reverb	0.5	بينما انحدرت المعرفة لدى اليونانيين وجد الغرب نفسه معزولاً عن جذوره الفلسفية والعلمية اليونانية	 دمان حربة المعرفة إذا تكون مليئين وإذا بغاروا نفسهم معذورا عن ميزوج الفلسطفية على الجيل المليئين	1.358595024000124	1.0	0.5263157894736842	⚫ Catastrophique	ar_031	14	16	1.1428571428571428
data/processed/fleurs_perturbed/ar_033__reverb_room0.5.wav	ar	reverb	0.5	يشتهر أهل باريس بالأنانية والوقاحة والغطرسة	 يشتئ الآن بمعيز بإمانية ووقحة واطرصة	0.7000858179999341	1.0	0.4418604651162791	⚫ Catastrophique	ar_033	6	6	1.0
data/processed/fleurs_perturbed/ar_040__reverb_room0.5.wav	ar	reverb	0.5	أوضحت أبحاث القرن العشرين وجود مجموعتين من التنوعات الچينية:- مجموعة مستترة وأخرى ظاهرة	 او دعم الأحياسة قريب العشرين وقرنا من عتل منتن وعدل الجنيني مجموعة مستفادة واخرى زميرة	1.3293491969998286	1.0	0.47058823529411764	⚫ Catastrophique	ar_040	13	15	1.1538461538461537
data/processed/fleurs_perturbed/ar_044__white_noise_snr5.wav	ar	white_noise	5.0	لا يفكر العديد فيها باعتبارها ديناصورات لأن لديها ريشًا ويمكنها الطيران	 يفكر العبيد بأنه يعتبره بيان الصورات لأنه لديه رشن ويمكنه التيران	1.138354991000142	1.0	0.323943661971831	⚫ Catastrophique	ar_044	11	11	1.0
